F2,F3,F1,F11,F4,F6,F10,F9,F5,F7,F12,F8,out
0.5139,5.58,4.606,5.317,5.867,2.815,5.093,1.887,1.871,0.9644,0.7581,0.5566,a
0.5737,5.704,4.685,5.348,5.883,2.787,5.026,1.823,1.826,1.079,0.9448,0.5957,a
0.5115,5.625,4.53,5.538,5.922,2.874,5.189,1.827,1.766,1.066,0.6665,0.5737,a
0.6055,5.662,4.441,5.575,5.841,2.808,5.021,1.777,1.731,0.9985,0.5798,0.4932,a
0.5371,5.594,4.491,5.339,5.927,2.683,5.045,1.825,1.71,1.022,0.8875,0.6494,a
0.5737,5.537,4.714,5.553,5.84,2.822,5.139,1.825,1.74,1.125,0.7776,0.5859,a
0.5554,5.482,4.536,5.222,5.865,2.834,4.988,1.838,1.812,0.9875,0.7764,0.6531,a
0.5029,5.813,4.463,5.345,5.907,2.708,5.02,1.956,1.791,0.9985,0.824,0.5103,a
0.5811,5.502,4.657,5.28,5.834,2.721,4.988,1.752,1.656,1.176,0.8325,0.4309,a
0.5164,5.713,4.696,5.208,5.785,2.765,5.167,1.694,1.729,1.017,0.8142,0.5225,a
0.592,5.71,4.587,5.302,5.88,2.727,5.017,1.841,1.738,1.016,0.7788,0.6958,a
0.5762,5.651,4.607,5.282,5.811,2.81,5.068,1.794,1.801,0.9839,0.6921,0.6519,a
0.4419,5.64,4.525,5.45,5.84,2.836,5.195,1.743,1.808,1.045,0.7031,0.6519,a
0.3613,5.457,4.406,5.449,5.901,2.804,5,1.772,1.813,0.9998,0.8789,0.6506,a
0.52,5.361,4.64,5.326,5.833,2.764,4.969,1.643,1.719,1.105,0.741,0.6287,a
0.5408,5.542,4.307,5.36,5.857,2.784,5,1.741,1.698,1.072,0.8313,0.6042,a
0.5212,5.526,4.636,5.625,5.879,2.813,5.215,1.713,1.736,1.095,0.8789,0.5469,a
0.531,5.599,4.592,5.364,5.847,2.786,4.987,1.642,1.709,1.135,0.8948,0.6335,a
0.6042,5.437,4.451,5.314,5.854,2.823,5.074,1.549,1.636,1.062,0.8411,0.5603,a
0.387,5.791,4.454,5.449,5.819,2.69,5.012,1.584,1.809,1.014,0.7373,0.5298,a
0.5701,5.707,4.47,5.386,5.85,2.694,4.941,1.732,1.788,0.9595,0.7617,0.636,a
0.5444,5.642,4.415,5.455,5.891,2.782,5.104,1.799,1.725,0.9863,0.8569,0.4907,a
0.5542,5.796,4.587,5.409,5.868,2.698,4.956,1.78,1.72,0.8899,0.6299,0.3577,a
0.52,5.364,4.468,5.295,5.795,2.827,5.167,1.744,1.779,1.106,0.73,0.6738,a
0.5566,5.653,4.514,5.303,5.857,2.659,5.146,1.638,1.738,1.088,0.7886,0.5457,a
0.6213,5.432,4.376,5.474,5.817,2.797,5.06,1.735,1.838,1.102,0.7837,0.6372,a
3.77,2.988,1.31,0.9631,2.371,0.1575,0.9595,0.26,0.2417,0.2161,0.1306,0.1526,a
3.733,3.186,1.205,1.003,2.318,0.1196,0.9619,0.2026,0.2222,0.1184,-0.04883,0.1245,a
3.983,3.118,1.345,1.1,2.206,0.07935,0.9644,0.1978,0.2649,0.2014,0.2466,0.07446,a
4.028,2.8,1.398,1.01,2.218,0.1794,1.155,0.2417,0.249,0.2197,0.0769,0.1465,a
3.806,2.78,1.359,1.072,2.345,0.1086,1.084,0.2185,0.3284,0.2527,0.002441,0.105,a
4.065,2.83,1.233,0.9229,2.212,0.08789,0.9595,0.1318,0.2856,0.21,0.01953,0.06958,a
3.892,3.059,1.389,0.9448,2.272,0.1318,0.9973,0.1013,0.1782,0.2026,-0.04395,-0.01465,a
3.748,3.158,1.282,0.9241,2.333,0.2332,1.039,0.1086,0.3772,0.2124,0.08179,0.04639,a
3.999,3.051,1.359,1.014,2.239,0.1904,0.9631,0.1733,0.2429,0.07568,0.06592,0.1685,a
3.612,2.881,1.216,0.957,2.345,0.1904,0.9692,0.2832,0.343,0.1416,0,0.1074,a
3.912,2.791,1.289,1.106,2.268,0.05493,1.042,0.1318,0.282,0.1196,-0.1404,0.1733,a
3.848,2.981,1.143,1.042,2.246,0.08057,0.9192,0.2478,0.2686,0.2197,0.0354,0.2673,a
3.724,3.066,1.277,0.9668,2.085,0.1746,0.9558,0.1526,0.177,0.1929,-0.01343,0.1392,a
3.967,2.991,1.133,1.033,2.15,0.1868,0.9644,0.26,0.2356,0.2014,0.02075,0.1526,a
3.789,2.969,1.16,0.9387,2,0.1575,0.9583,0.26,0.1746,0.21,0.06226,0.1062,a
3.705,2.793,1.351,0.979,2.146,0.1111,0.9656,0.2173,0.282,0.2063,0.1538,0.08789,a
3.905,3.011,1.329,0.9363,2.28,0.2698,0.9473,0.3149,0.1965,0.1648,0.1184,0.2161,a
3.762,3.081,1.282,1.023,2.249,0.1062,0.8801,0.2795,0.1819,0.1733,0.05005,0.1611,a
4.061,2.965,1.257,1.029,2.255,0.1819,0.8887,0.2734,0.3528,0.2039,-0.09888,-0.03784,a
3.733,3.008,1.201,1.03,2.273,0.1807,0.9033,0.155,0.2454,0.1135,0.08179,0.238,a
3.695,2.981,1.213,0.9766,2.223,0.1611,0.9656,0.2844,0.2209,0.127,-0.09277,0.1428,a
3.978,3.031,1.2,1.064,2.177,0.1282,0.9607,0.2893,0.3723,0.1843,0.1489,0.06348,a
4.041,2.883,1.284,1.207,2.324,0.1636,0.9595,0.2698,0.1904,0.1135,0.07935,0.1782,a
4.081,2.743,1.375,0.929,2.347,0.1013,0.9814,0.2563,0.1855,0.1514,-0.05859,0.1477,a
3.882,3,1.295,1.008,2.279,0.2039,1.019,0.1953,0.1953,0.2283,0.06592,0.09766,a
3.813,2.842,1.37,0.9583,2.352,0.09644,0.968,0.2258,0.1672,0.3027,-0.01099,0.09277,a
3.71,2.944,1.152,0.979,2.091,0.05493,0.9253,0.1282,0.2698,0.1733,-0.04639,0.188,a
3.76,2.81,1.34,0.9436,2.046,0.282,0.9961,0.2148,0.3088,0.1953,0.03418,-0.01221,a
3.904,2.976,1.261,0.9082,2.294,0.1172,0.9351,0.1965,0.2966,0.1343,0.2161,0.08057,a
3.918,3.046,1.376,0.8948,2.252,0.1404,0.9924,0.21,0.2209,0.188,0.009766,0.1721,a
3.739,3.053,1.238,0.968,2.205,0.1318,1.005,0.2429,0.1489,0.1538,0.1538,0.04517,a
3.783,3.181,1.281,0.9351,2.358,0.2649,1.003,0.2612,0.3552,0.2991,0.144,0.1062,a
3.733,3.025,1.32,0.9424,2.319,0.2649,0.9045,0.1404,0.2588,0.1648,0.03296,0.1599,a
3.805,2.997,1.331,0.9058,2.234,0.1831,0.9338,0.2124,0.2661,0.2722,0.3174,0.2112,a
3.644,2.941,1.292,1.066,2.141,0.2246,0.9668,0.1685,0.3137,0.1331,0.1343,0.05737,a
3.964,2.982,1.207,0.8447,2.211,0.1636,0.918,0.3528,0.2319,0.2197,-0.1038,0.05127,a
4.038,2.92,1.281,1.038,2.209,0.1404,0.9131,0.2075,0.321,0.1404,-0.07202,0.1428,a
4.03,3.076,1.259,0.8276,2.257,0.09521,0.8936,-0.04517,0.1587,0.2087,0.07568,0.06104,a
3.641,3.14,1.324,1.028,2.291,0.1416,0.9167,0.2649,0.2527,0.1855,0.04272,0.2466,a
3.967,2.869,1.278,0.9436,2.236,0.1758,0.9387,0.2551,0.1978,0.1355,0.009766,0.155,a
3.801,2.942,1.571,1.143,2.181,0.2026,0.9875,0.07812,0.3174,0.1221,0.2209,0.3577,a
3.761,3.289,1.643,0.9766,2.482,0.1733,1.007,0.2405,0.2539,0.2063,0.1404,0.1855,a
3.687,3.423,1.935,0.9644,2.577,0.249,0.907,0.3088,0.2051,0.2002,-0.07568,-0.05249,a
3.737,3.842,2.267,0.9985,2.897,0.3296,1.018,0.282,0.2271,0.3516,0.155,0.1721,a
3.914,4.344,2.257,0.9937,2.804,0.4138,1.005,0.2893,0.2307,0.1733,0.03296,0.1013,a
3.945,4.578,2.52,1.023,2.985,0.4065,0.9705,0.3357,0.2966,0.2173,0.002441,0.1819,a
3.701,4.836,2.439,1.046,3.138,0.5261,0.9717,0.2795,0.4028,0.343,0.2222,0.1831,a
3.604,4.894,2.543,0.9009,3.119,0.4651,0.9424,0.3674,0.3027,0.1855,0.01709,0.2417,a
3.81,4.994,2.733,1.025,2.991,0.6799,0.8887,0.2832,0.3308,0.2161,-0.01953,0.09521,a
3.713,4.854,2.804,1.08,3.182,0.8044,0.9753,0.3723,0.4089,0.1892,0.009766,0.1208,a
3.914,5.239,2.949,1.023,3.315,0.6201,0.9766,0.2612,0.3918,0.2527,-0.0293,0.2295,a
3.574,4.896,2.838,1.066,3.56,0.7031,1.001,0.2209,0.387,0.2417,-0.1111,0.1929,a
3.727,4.731,2.946,1.031,3.221,0.636,0.9338,0.3284,0.2039,0.2588,0.1184,0.08057,a
3.756,4.664,2.726,1.063,3.292,0.8142,1.014,0.376,0.4321,0.199,0.0769,0.2271,a
3.754,5.515,3.033,0.9912,3.517,0.7043,0.9668,0.3967,0.4443,0.3003,0.05493,0.1599,a
3.621,5.233,2.888,1.051,3.386,0.9412,1.071,0.2698,0.3674,0.3027,-0.155,0.1843,a
3.414,5.115,3.147,1.033,3.309,0.8142,0.9766,0.2478,0.3394,0.2368,0.01831,0.09644,a
3.588,4.816,3.065,1.185,3.536,0.8801,0.9778,0.1917,0.4187,0.2673,-0.04028,0.1208,a
3.622,5.137,3.104,1.133,3.372,0.9094,1.063,0.365,0.5017,0.3174,-0.03662,0.144,a
3.54,5.483,3.134,1.09,3.556,0.8386,1.031,0.3552,0.3772,0.2454,0.01099,0.1123,a
3.391,5.177,3.014,1.051,3.505,0.8423,1.058,0.3967,0.4687,0.2515,-0.08789,0.1672,a
3.564,5.41,3.047,1.089,3.372,0.9631,1.116,0.2246,0.376,0.2698,0.03296,0.1685,a
3.643,5.333,3.325,1.134,3.407,0.9119,1.086,0.3613,0.2722,0.2283,-0.08789,0.07446,a
3.63,5.555,3.134,1.119,3.589,0.9167,1.145,0.3577,0.3687,0.1465,0.05127,0.1855,a
3.413,5.264,3.064,1.237,3.34,0.9436,1.05,0.3455,0.3564,0.282,-0.04028,0.04272,a
3.599,4.926,3.291,1.006,3.336,0.8765,1.272,0.4443,0.4431,0.2588,0.1489,0.155,a
3.481,4.905,2.942,0.9644,3.578,1.002,1.129,0.4358,0.354,0.2026,0.1733,0.1294,a
3.492,5.408,3.229,1.075,3.479,0.9973,1.138,0.3613,0.4468,0.3467,0.02686,0.05005,a
3.334,4.791,3.336,1.06,3.438,1.147,1.238,0.5042,0.3381,0.2991,-0.01343,0.1624,a
3.552,5.105,3.112,1.165,3.381,1.025,1.124,0.4028,0.3699,0.2417,0.1575,0.2161,a
3.438,5.546,3.149,1.25,3.365,1.088,1.163,0.4004,0.4114,0.2893,-0.09155,0.2295,a
3.392,4.784,3.296,1.156,3.635,0.9924,1.088,0.3601,0.4285,0.2698,0.1135,0.1257,a
3.578,5.626,3.154,1.149,3.512,1.041,1.216,0.4211,0.3247,0.2942,-0.07812,0.2026,a
3.452,5.155,3.322,1.176,3.542,1.036,1.158,0.4297,0.343,0.3967,0.0415,0.03784,a
3.608,5.449,3.248,1.171,3.54,0.9473,1.202,0.4382,0.3833,0.3137,-0.01953,0.1245,a
3.265,5.044,3.17,1.133,3.458,0.9863,1.35,0.4749,0.3845,0.3015,-0.1184,0.1294,a
3.297,5.068,3.331,1.034,3.488,1.01,1.292,0.5627,0.3833,0.1501,0.009766,0.2551,a
3.274,4.955,3.047,1.074,3.263,1.002,1.448,0.4675,0.3357,0.2026,0.1184,0.2673,a
3.43,5.521,3.173,1.067,3.492,0.9778,1.256,0.4126,0.4346,0.2856,0.1208,0.1855,a
3.384,5.239,3.27,1.212,3.28,0.9961,1.222,0.4529,0.3381,0.2344,-0.02075,0.02197,a
3.397,5.564,3.264,1.124,3.49,0.8838,1.378,0.4761,0.3662,0.1807,0.0415,0.2405,a
3.226,4.785,3.129,1.055,3.186,0.863,1.299,0.3638,0.5408,0.3918,0.08545,0.1624,a
3.258,4.983,3.32,1.096,3.248,0.9131,1.227,0.4175,0.4077,0.2271,-0.1208,0.2136,a
3.356,5.017,3.153,0.9521,3.146,1.082,1.295,0.4614,0.4468,0.08545,0.08789,0.2222,a
3.407,4.834,3.248,0.8533,3.416,0.9363,1.139,0.3271,0.4553,0.3406,0.07812,0.1794,a
3.445,4.807,2.974,1.061,3.436,0.9241,1.296,0.304,0.3186,0.2563,-0.03906,-0.02808,a
3.18,4.978,3.241,1.134,3.173,0.9875,1.024,0.2344,0.26,0.3101,-0.0647,0.09277,a
3.363,5.477,3.101,1.04,3.359,0.8716,1.188,0.459,0.3918,0.2246,0.0293,0.09521,a
3.448,5.28,3.342,1.262,3.126,0.7947,1.39,0.3381,0.4761,0.2161,0.01099,0.2576,a
3.252,5.51,3.325,1.243,3.24,0.9497,1.187,0.4236,0.4077,0.376,0.05859,-0.06226,a
3.347,5.277,3.135,0.9253,3.289,0.9607,1.257,0.3125,0.3235,0.2051,-0.0354,0.1782,a
3.392,5.468,3.105,1.133,3.164,0.9119,1.3,0.3906,0.3564,0.2466,0.07935,0.05127,a
3.317,4.756,3.152,1.156,3.158,1.012,1.276,0.448,0.4919,0.3577,-0.008545,0.2185,a
3.195,4.858,3.23,1.125,3.513,0.9229,1.261,0.4456,0.3186,0.2698,-0.02441,0.2319,a
3.362,5.521,3.236,1.04,3.262,0.863,1.267,0.4236,0.3174,0.2832,0.03418,0.08057,a
3.309,5.532,3.342,1.077,3.121,0.9851,1.307,0.3052,0.4529,0.009766,0.05615,0.2161,a
3.367,5.498,3.171,1.171,3.353,0.8728,1.282,0.2466,0.4041,0.271,-0.01343,0.1941,a
3.131,2.845,1.194,1.057,2.324,0.1379,1.111,-0.05249,0.2393,0.1355,5.107,0.1709,a
3.047,2.805,1.324,1.06,2.406,0.2649,1.166,0.1733,0.1965,0.09155,5.247,0.1489,a
3.049,2.9,1.277,0.8838,2.373,0.3284,1.091,0.1086,0.2368,0.144,5.054,-0.01099,a
3.203,3.026,1.252,0.9766,2.257,0.04761,1.112,0.1257,0.1221,0.1819,5.323,0.1587,a
3.197,2.986,1.233,0.9229,2.38,0.1086,1.095,0.2478,0.166,0.1111,5.199,0.1648,a
3.087,2.982,1.313,0.9619,2.168,0.05249,1.068,0.2942,0.3516,0.2161,5.032,0.1184,a
3.369,3.054,1.217,1.016,2.324,0.2271,1.003,0.2515,0.2808,0.1709,5.496,0.04883,a
3.253,2.874,1.348,0.9851,2.338,-0.01343,1.08,0.1318,0.2344,0.1843,5.652,-0.008545,a
3.103,2.926,1.526,1.04,2.362,0.1477,1.146,0.2026,0.2283,0.2246,5.382,0.1416,a
3.315,2.919,1.385,1.029,2.401,0.09521,1.083,0.09399,0.2307,0.1965,5.221,0.1453,a
3.164,2.904,1.143,0.9412,2.207,0.1367,0.9949,0.1477,0.2563,0.1379,5.42,0.2026,a
3.334,3.01,1.202,1.04,2.152,0.1953,1.058,0.1978,0.1831,0.1672,4.965,0.1306,a
3.256,3.142,1.34,0.9961,2.458,0.144,1.017,0.01343,0.1465,0.1636,5.06,0.1282,a
3.267,2.919,1.154,0.9155,2.323,0.1831,1.06,0.2124,0.1843,0.1514,5.17,0.2209,a
3.055,2.888,1.272,1.063,2.192,0.1709,0.9753,0.1965,0.2563,0.1538,5.066,0.2026,a
3.002,3.215,1.166,1.022,2.216,0.293,1.041,0.05005,0.2893,0.1794,4.928,0.1477,a
2.957,2.804,1.217,1.044,2.341,0.1697,1.033,0.1208,0.2136,0.2039,5.25,0.1575,a
3.187,2.963,1.376,1.049,2.394,-0.08423,1.072,0.1221,0.1062,0.1807,5.51,0.1611,a
3.13,3.265,1.322,1.042,2.158,0.144,1.111,0.1233,0.2124,0.1257,5.444,0.08667,a
3.083,2.994,1.309,0.9839,2.19,0.0769,1.058,0.1611,0.1062,0.1001,5.057,0.07935,a
3.293,2.905,1.338,1.028,2.109,0.1318,1.01,0.01709,0.1331,0.2393,4.786,0.08545,a
3.195,3.201,1.278,0.9863,2.357,0.09888,1.062,0.2527,0.2881,0.1489,4.933,0.1599,a
3.311,3.011,1.332,1.108,2.114,0.07935,1.075,0.2075,0.3113,0.2002,5.494,0.1477,a
3.164,2.856,1.32,1.041,2.418,0.0415,0.9924,0.3052,0.1868,0.1221,5.145,0.02686,a
3.132,2.845,1.285,0.9619,2.388,0.105,0.9729,0.238,0.2185,0.2563,4.801,0.1514,a
3.26,3.062,1.226,1.001,2.255,0.1111,1.062,0.1843,0.1208,0.2051,5.492,0.2173,a
3.236,3.16,1.351,1.011,2.325,0.03052,1.091,0.2454,0.2466,0.1807,5.713,0.1575,a
3.254,2.804,1.271,0.9607,2.362,0.04517,1.107,0.1611,0.01343,0.1917,4.761,0.09644,a
2.976,3.103,1.313,1.088,2.208,0.1477,1.091,0.1404,0.1538,0.2026,5.391,0.1367,a
3.362,2.902,1.298,0.9155,2.158,0.3052,1.095,0.2173,0.21,0.1892,4.841,0.1282,a
2.919,3.02,1.194,0.8813,2.203,0.1038,1.069,0.2112,0.2441,0.1929,5.254,0.1416,a
3.157,2.848,1.29,1.013,2.289,0.177,1.085,0.3162,0.2563,0.2795,4.757,0.1465,a
3.303,3.03,1.233,0.813,2.322,0.1575,1.035,0.1953,0.1392,0.1147,5.493,0.116,a
3.147,3.06,1.254,0.9851,2.538,0.282,1.067,0.08545,0.2368,0.1892,5.35,0.1465,a
2.969,3.134,1.581,0.7605,2.335,0.08057,1.099,0.1526,0.2478,0.07324,5.632,0.08423,a
3.323,3.024,1.91,1.066,2.501,0.2625,1.112,0.1965,0.3198,0.05615,5.751,0.1257,a
3.264,3.243,2.003,0.979,2.863,0.1343,1.06,0.2429,0.2625,0.1099,4.884,0.07202,a
3.306,3.326,2.303,1.074,3.474,0.2722,0.9497,0.2734,0.2869,0.1123,5.123,-0.01343,a
3.235,3.513,2.312,0.9583,3.711,0.3345,1.027,0.3369,0.2869,0.2673,5.612,0.1062,a
3.202,3.616,2.393,0.9631,3.787,0.08911,1.067,0.2759,0.2759,0.188,5.165,0.02441,a
3.325,3.743,2.462,1.095,3.739,0.2454,1.101,0.4138,0.2771,0.127,5.704,0.1782,a
3.282,3.795,2.615,1.19,4.064,0.1575,1.223,0.26,0.321,0.3027,5.616,0.1343,a
3.346,3.92,2.759,1.06,3.84,0.2844,1.056,0.4224,0.4138,0.2527,4.911,0.1343,a
3.395,4.275,2.952,1.073,4.233,0.3455,1.216,0.4016,0.4333,0.2441,5.065,0.1257,a
3.165,4.355,2.822,1.185,4.053,0.4163,1.174,0.3442,0.3784,0.1147,5.374,0.1489,a
3.311,4.482,2.865,0.9241,4.29,0.3247,1.327,0.4224,0.3662,0.1929,5.825,0.177,a
3.264,4.491,2.903,1.127,4.105,0.3223,1.187,0.3711,0.3381,0.2429,5.167,0.2271,a
3.398,4.648,2.754,1.154,4.116,0.2209,1.206,0.4297,0.3955,0.3296,4.961,0.1929,a
3.492,4.496,3.02,1.156,4.167,0.2588,1.168,0.304,0.426,0.1843,5.157,0.21,a
3.303,4.659,2.909,1.221,4.269,0.5029,1.155,0.4028,0.4297,0.2686,5.648,0.1794,a
3.457,4.612,3.126,1.311,4.114,0.4126,1.394,0.4211,0.4541,0.2283,5.35,0.199,a
3.335,4.823,2.898,1.295,4.359,0.4932,1.426,0.4126,0.3906,0.1575,5.02,0.3052,a
3.499,4.626,2.878,1.277,4.004,0.3955,1.503,0.3979,0.4504,0.3906,5.549,0.2844,a
3.395,4.666,3.008,1.309,4.049,0.4004,1.456,0.4492,0.5225,0.2991,5.352,0.1892,a
3.433,4.962,2.874,1.329,4.274,0.4382,1.553,0.4419,0.4016,0.2783,5.289,0.1404,a
3.298,4.974,3.082,1.385,4.308,0.6104,1.497,0.5884,0.4675,0.2563,4.938,0.2148,a
3.307,4.749,3.033,1.375,4.307,0.3748,1.375,0.4761,0.4626,0.3125,5.289,0.2673,a
3.597,4.805,2.947,1.364,4.401,0.4272,1.605,0.5688,0.3992,0.2271,5.271,0.0769,a
3.6,4.589,2.985,1.516,4.427,0.4578,1.624,0.3467,0.448,0.2893,5.282,0.2148,a
3.406,4.995,3.032,1.497,4.324,0.4089,1.758,0.4382,0.4822,0.4346,4.825,0.2136,a
3.472,4.983,2.932,1.466,4.381,0.5212,1.666,0.498,0.4492,0.2344,5.378,0.02441,a
3.439,4.705,2.952,1.455,4.302,0.4834,1.685,0.3821,0.4675,0.2881,5.022,0.1978,a
3.339,4.648,2.859,1.488,4.241,0.52,1.704,0.5005,0.4761,0.3577,5.665,0.2222,a
3.711,4.67,3.138,1.377,4.21,0.5493,1.631,0.321,0.625,0.1843,5.426,0.2136,a
3.494,4.705,2.953,1.376,4.333,0.4797,1.779,0.4712,0.5249,0.4297,4.83,0.1501,a
3.379,4.852,3.075,1.479,4.336,0.3906,1.689,0.3467,0.5322,0.2686,4.839,0.2332,a
3.475,5.171,3.068,1.526,4.358,0.4968,1.759,0.4175,0.4419,0.2051,5.415,0.2185,a
3.467,4.819,2.997,1.456,4.288,0.5273,1.896,0.415,0.5176,0.2551,5.522,0.2454,a
3.488,4.824,3.094,1.306,4.333,0.5261,1.843,0.2783,0.5164,0.238,5.48,0.04883,a
3.632,4.656,2.881,1.394,4.119,0.3015,1.809,0.4883,0.4675,0.2661,5.308,0.1685,a
3.45,5.157,2.965,1.451,4.276,0.4236,1.852,0.6128,0.3796,0.2869,4.905,0.2917,a
3.734,5.217,2.994,1.437,4.241,0.2905,1.829,0.3967,0.4687,0.3259,4.972,0.2026,a
3.663,4.904,2.872,1.449,4.119,0.5554,1.964,0.3906,0.4016,0.2856,5.159,0.1599,a
3.694,4.983,2.996,1.414,3.928,0.5383,1.857,0.4333,0.5066,0.2197,5.525,0.2136,a
3.542,4.866,3.036,1.433,3.96,0.426,2.007,0.4626,0.4736,0.2283,5.035,0.26,a
3.402,4.785,3.054,1.454,3.872,0.5408,1.722,0.4687,0.4114,0.2173,5.532,0.1843,a
3.705,5.101,2.834,1.37,3.811,0.4211,1.975,0.2881,0.3931,0.304,4.834,0.2454,a
3.584,4.85,3.03,1.414,3.7,0.459,1.976,0.448,0.3735,0.1843,5.264,0.3076,a
3.704,5.111,2.788,1.467,3.756,0.4382,1.958,0.4956,0.4114,0.2771,5.192,0.2441,a
3.749,4.762,2.775,1.337,3.434,0.426,1.976,0.3711,0.415,0.2075,5.62,0.21,a
3.491,5.04,2.653,1.345,3.698,0.4236,1.942,0.4309,0.3967,0.2478,5.393,0.2148,a
3.373,4.883,2.905,1.235,3.784,0.5127,1.913,0.4456,0.5054,0.1685,5.747,0.1514,a
3.442,5.021,2.908,1.317,3.745,0.4126,1.923,0.3662,0.5164,0.2405,5.002,0.1831,a
3.651,4.861,3.005,1.182,3.719,0.4236,1.987,0.387,0.3918,0.3088,4.906,0.1147,a
3.619,5.063,2.969,1.384,3.838,0.426,1.957,0.365,0.3394,0.1318,5.441,0.1819,a
3.591,5.045,2.983,1.304,3.815,0.5969,1.903,0.4309,0.4614,0.1331,5.195,0.0769,a
3.513,4.928,2.975,1.185,3.694,0.282,2.064,0.5017,0.415,0.3882,5.417,0.1501,a
3.373,5.034,2.87,1.337,3.719,0.4285,1.875,0.3613,0.4395,0.2637,4.728,0.1074,a
3.425,4.816,2.661,1.123,3.684,0.3479,1.871,0.426,0.3467,0.1746,4.836,0.1428,a
3.695,4.88,2.871,1.362,3.711,0.426,1.929,0.4358,0.3748,0.2148,5.015,0.1929,a
3.444,4.911,2.861,1.24,3.455,0.4065,1.92,0.3699,0.3894,0.2161,5.577,0.1282,a
3.591,4.771,2.773,1.309,3.605,0.5615,1.809,0.343,0.2063,0.2258,5.037,0.354,a
1.147,5.529,3.635,1.165,4.792,1.351,1.731,0.437,0.5896,0.4468,4.978,0.3723,b
1.357,5.28,3.848,1.178,4.636,1.326,1.65,0.5908,0.6763,0.3381,5.157,0.3052,b
1.194,5.566,3.772,1.217,4.65,1.471,1.709,0.5554,0.7117,0.3882,4.918,0.2478,b
1.104,5.468,4.043,1.246,4.585,1.536,1.761,0.4578,0.5994,0.3735,5.334,0.2576,b
1.184,5.073,3.798,1.471,5.166,1.489,1.779,0.6702,0.6848,0.3992,5.59,0.2417,b
1.18,5.466,3.923,1.367,4.751,1.586,1.812,0.6555,0.4614,0.3479,5.142,0.2551,b
1.021,5.127,3.982,1.343,4.803,1.58,1.901,0.564,0.5847,0.4883,5.43,0.2869,b
0.9399,5.259,3.934,1.293,4.952,1.604,2.023,0.6787,0.614,0.4395,5.111,0.2332,b
1.178,5.475,3.964,1.278,4.845,1.538,2.026,0.5774,0.5627,0.4016,5.605,0.2869,b
1.066,5.481,4.008,1.292,4.492,1.538,1.99,0.5542,0.5811,0.3772,5.531,0.2734,b
1.096,5.41,3.846,1.224,4.59,1.509,2.023,0.6177,0.7056,0.5225,4.74,0.1404,b
1.069,5.189,3.976,1.475,5.187,1.603,2.1,0.6763,0.5872,0.3491,4.982,0.2881,b
1.05,5.251,4.181,1.342,4.739,1.722,2.1,0.5994,0.7422,0.4565,4.885,0.2429,b
0.9326,5.414,3.811,1.407,4.792,1.503,2.04,0.6348,0.7434,0.5164,5.61,0.3418,b
0.8826,5.022,3.94,1.437,4.675,1.654,2.028,0.6165,0.7007,0.3833,5.526,0.3418,b
0.9753,5.094,3.879,1.261,5.007,1.656,2.194,0.564,0.5579,0.4993,5.312,0.1843,b
0.7959,4.891,3.842,1.392,4.623,1.816,2.065,0.5872,0.625,0.4321,4.762,0.2271,b
1.034,5.2,3.724,1.365,4.498,1.609,2.355,0.5945,0.6519,0.3247,5.134,0.2661,b
0.9595,5.26,3.713,1.23,4.68,1.626,2.252,0.5908,0.4358,0.4199,5.57,0.1501,b
0.8545,5.405,3.794,1.421,4.651,1.611,2.17,0.5798,0.5408,0.2722,5.466,0.2454,b
1.019,4.905,3.909,1.318,4.437,1.412,2.336,0.5493,0.5908,0.4309,5.531,0.1245,b
0.9277,4.908,3.917,1.257,4.207,1.597,2.255,0.4578,0.448,0.4822,4.775,0.2405,b
0.8948,5.166,3.86,1.398,4.574,1.422,2.279,0.5798,0.6616,0.3479,5.658,0.2319,b
0.8813,4.927,3.68,1.368,4.548,1.464,2.063,0.4785,0.6152,0.3149,5.15,0.3345,b
0.8582,5.516,3.657,1.349,4.7,1.458,2.343,0.6482,0.5823,0.3479,5.652,0.1978,b
0.9241,5.638,3.712,1.283,4.501,1.542,2.101,0.5139,0.592,0.4553,5.272,0.2917,b
0.9009,5.36,3.701,1.436,4.645,1.393,2.173,0.5066,0.5371,0.3479,5.297,0.2405,b
0.8801,5.577,3.785,1.29,4.738,1.403,2.225,0.6335,0.6067,0.4578,5.344,0.2283,b
0.7336,5.474,3.851,1.41,4.424,1.449,2.208,0.6335,0.5542,0.3015,5.333,0.249,b
0.7666,5.195,3.872,1.473,4.678,1.414,2.233,0.5298,0.6604,0.4578,5.132,0.3845,b
0.8984,5.083,3.905,1.306,4.628,1.498,2.244,0.6445,0.5908,0.4626,4.751,0.2124,b
0.9314,5.439,4.045,1.382,4.708,1.459,2.227,0.6116,0.6531,0.4724,5.02,0.2319,b
0.7715,5.77,3.738,1.339,4.453,1.691,2.278,0.5481,0.6799,0.5383,5.375,0.2856,b
0.9241,5.538,3.909,1.455,4.65,1.394,2.305,0.6885,0.5676,0.5139,5.615,0.2869,b
0.9619,5.286,3.859,1.382,4.706,1.447,2.382,0.6531,0.6055,0.4285,5.1,0.1599,b
0.9021,5.36,3.9,1.31,4.768,1.431,2.379,0.6555,0.6616,0.4602,5.654,0.3748,b
0.9888,5.17,4.016,1.331,5.094,1.628,2.378,0.6958,0.5554,0.5176,5.397,0.2795,b
